outcome,area,country,region,source_country_name,model_source,source_model_file
maternal_deaths,32,Canada,Region of the Americas,Canada,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-32-01-01-2019.csv
maternal_deaths,33,Central African Republic,African Region,Central African Republic,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-33-01-01-2019.csv
maternal_deaths,34,Chad,African Region,Chad,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-34-01-01-2019.csv
maternal_deaths,35,Chile,Region of the Americas,Chile,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-35-01-01-2019.csv
maternal_deaths,36,China,Western Pacific Region,China,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-36-01-01-2019.csv
maternal_deaths,37,Colombia,Region of the Americas,Colombia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-37-01-01-2019.csv
maternal_deaths,38,Comoros,African Region,Comoros,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-38-01-01-2019.csv
maternal_deaths,39,Congo,African Region,Congo,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-39-01-01-2019.csv
maternal_deaths,40,Cook Islands,Western Pacific Region,Cook Islands,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-40-01-01-2019.csv
maternal_deaths,41,Costa Rica,Region of the Americas,Costa Rica,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-41-01-01-2019.csv
maternal_deaths,42,Cote d'Ivoire,African Region,Cote d'Ivoire,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-42-01-01-2019.csv
maternal_deaths,43,Croatia,European Region,Croatia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-43-01-01-2019.csv
maternal_deaths,44,Cuba,Region of the Americas,Cuba,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-44-01-01-2019.csv
maternal_deaths,45,Cyprus,European Region,Cyprus,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-45-01-01-2019.csv
maternal_deaths,46,Czechia,European Region,Czechia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-46-01-01-2019.csv
maternal_deaths,47,North Korea,Southeast Asia Region,Democratic People's Republic of Korea,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-47-01-01-2019.csv
maternal_deaths,48,DR Congo,African Region,Democratic Republic of the Congo,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-48-01-01-2019.csv
maternal_deaths,49,Denmark,European Region,Denmark,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-49-01-01-2019.csv
maternal_deaths,50,Djibouti,Eastern Mediterranean,Djibouti,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-50-01-01-2019.csv
maternal_deaths,51,Dominica,Region of the Americas,Dominica,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-51-01-01-2019.csv
maternal_deaths,52,Dominican Republic,Region of the Americas,Dominican Republic,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-52-01-01-2019.csv
maternal_deaths,53,Ecuador,Region of the Americas,Ecuador,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-53-01-01-2019.csv
maternal_deaths,54,Egypt,Eastern Mediterranean,Egypt,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-54-01-01-2019.csv
maternal_deaths,55,El Salvador,Region of the Americas,El Salvador,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-55-01-01-2019.csv
maternal_deaths,56,Equatorial Guinea,African Region,Equatorial Guinea,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-56-01-01-2019.csv
maternal_deaths,57,Eritrea,African Region,Eritrea,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-57-01-01-2019.csv
