outcome,area,country,source_country_name,region,year,observed,expected_median,expected_lower,expected_upper,model_source,excess_median,excess_lower,excess_upper,signed_deviation,observed_expected_ratio,log_observed_expected_ratio
mmr,18,Belize,Belize,Region of the Americas,2022,109.6,80.8017932479,69.315139111,456.118503235,ensemble_top4,28.7982067521,0,40.284860889,28.7982067521,1.35640553996,0.304838215571
mmr,18,Belize,Belize,Region of the Americas,2023,66.8,86.9898722342,72.6893850113,517.133993306,ensemble_top4,0,0,0,-20.1898722342,0.767905484677,-0.264088620235
mmr,19,Benin,Benin,African Region,2020,577.7,578.341062441,538.704721846,613.245716979,ensemble_top4,0,0,38.995278154,-0.641062441423,0.998891549497,-0.00110906528835
mmr,19,Benin,Benin,African Region,2021,583.6,574.576523092,533.368168876,610.483813939,ensemble_top4,9.02347690792,0,50.2318311241,9.02347690792,1.01570456944,0.0155825287661
mmr,19,Benin,Benin,African Region,2022,547.1,569.64474376,529.492471144,609.394352677,ensemble_top4,0,0,17.607528856,-22.5447437599,0.960423151435,-0.0403813088921
mmr,19,Benin,Benin,African Region,2023,518.2,566.972531964,525.657398741,607.058974564,ensemble_top4,0,0,0,-48.772531964,0.913977257778,-0.0899495899183
mmr,20,Bhutan,Bhutan,Southeast Asia Region,2020,51.35,50.0138108977,46.6834592898,63.4117004036,ensemble_top4,1.33618910225,0,4.66654071017,1.33618910225,1.02671640249,0.0263657511326
mmr,20,Bhutan,Bhutan,Southeast Asia Region,2021,49.92,48.0038606625,44.0480547101,60.3225246341,ensemble_top4,1.91613933754,0,5.87194528995,1.91613933754,1.03991635904,0.0391402859196
mmr,20,Bhutan,Bhutan,Southeast Asia Region,2022,48.57,46.3902372293,41.6630170561,57.9821435946,ensemble_top4,2.17976277066,0,6.90698294386,2.17976277066,1.04698753231,0.0459170238036
mmr,20,Bhutan,Bhutan,Southeast Asia Region,2023,46.65,45.1961341219,39.6649715692,55.8480685111,ensemble_top4,1.45386587805,0,6.98502843083,1.45386587805,1.03216792556,0.0316613723885
mmr,21,Bolivia,Bolivia (Plurinational State of),Region of the Americas,2020,217.8,154.064343653,145.432990106,163.095707297,ensemble_top4,63.7356563473,54.7042927027,72.3670098941,63.7356563473,1.41369504998,0.346206879419
mmr,21,Bolivia,Bolivia (Plurinational State of),Region of the Americas,2021,270,152.377842107,142.788625063,162.91455525,ensemble_top4,117.622157893,107.08544475,127.211374937,117.622157893,1.77191116679,0.572058719316
mmr,21,Bolivia,Bolivia (Plurinational State of),Region of the Americas,2022,164.3,150.820039406,140.684656486,163.517720751,ensemble_top4,13.479960594,0.782279249135,23.615343514,13.479960594,1.08937778194,0.0856066909902
mmr,21,Bolivia,Bolivia (Plurinational State of),Region of the Americas,2023,146.4,149.656929127,139.005084618,164.600659636,ensemble_top4,0,0,7.3949153825,-3.25692912653,0.978237364982,-0.0220029339149
mmr,22,Bosnia,Bosnia and Herzegovina,European Region,2020,7.41,6.48059541771,6.09479861634,6.85416917151,ranked_top1_fallback,0.929404582287,0.555830828493,1.31520138366,0.929404582287,1.14341345546,0.134018047715
mmr,22,Bosnia,Bosnia and Herzegovina,European Region,2021,12.69,6.33175853692,5.90330813013,6.74351880586,ranked_top1_fallback,6.35824146308,5.94648119414,6.78669186987,6.35824146308,2.00418255466,0.695236274212
mmr,22,Bosnia,Bosnia and Herzegovina,European Region,2022,11.79,6.10872890427,5.67642295475,6.56696369082,ranked_top1_fallback,5.68127109573,5.22303630918,6.11357704525,5.68127109573,1.93002508128,0.657532998315
mmr,22,Bosnia,Bosnia and Herzegovina,European Region,2023,6.17,5.8206805865,5.42970158611,6.33621593427,ranked_top1_fallback,0.349319413496,0,0.740298413885,0.349319413496,1.06001349985,0.0582816437489
mmr,23,Botswana,Botswana,African Region,2020,97.8,57.1858448372,-0,148.2758111,ensemble_top4,40.6141551628,0,97.8,40.6141551628,1.71021343269,0.536618177162
mmr,23,Botswana,Botswana,African Region,2021,165.4,48.4206051433,-0,133.034418842,ensemble_top4,116.979394857,32.3655811578,165.4,116.979394857,3.41590113363,1.22844133336
mmr,23,Botswana,Botswana,African Region,2022,120.4,40.3452483587,-0,125.195599642,ensemble_top4,80.0547516413,0,120.4,80.0547516413,2.9842423804,1.09334590572
mmr,23,Botswana,Botswana,African Region,2023,155.1,33.8990685494,-0,116.499524909,ensemble_top4,121.200931451,38.6004750907,155.1,121.200931451,4.57534695309,1.52068253259
